Date,Station_ID,PM2.5,PM10,NO2,SO2,CO,O3,NH3,Benzene,Temperature,Rel_Humidity,Wind_Speed,Wind_Direction,AQI_Category
2020-01-01,STN_004,60.496,106.117,35.297,13.879,1.708,25.522,31.439,2.253,21.3,98.8,8.1,116.8,Poor
2020-01-01,STN_037,84.017,86.551,64.873,38.162,2.381,15.969,46.015,7.019,31.5,50.8,13.8,121.9,Poor
2020-01-01,STN_002,176.208,352.989,104.333,104.601,4.264,14.369,75.877,13.275,16.5,59.3,19.9,45.8,Very Poor
2020-01-01,STN_027,193.339,258.083,94.946,86.492,5.268,13.781,,14.563,19.3,94.3,8.3,318.7,Very Poor
2020-01-01,STN_011,24.807,38.323,24.1,6.583,,47.588,9.694,0.893,36.0,48.4,3.3,117.0,Satisfactory
2020-01-01,STN_024,72.158,201.159,79.953,49.486,2.663,27.09,39.783,6.455,32.7,69.4,2.8,35.4,Poor
2020-01-01,STN_015,10.549,44.483,16.799,9.865,0.406,41.398,2.505,0.488,25.6,29.5,4.5,184.7,Good
2020-01-01,STN_032,131.311,113.006,86.614,30.647,3.387,31.604,30.876,3.776,30.8,37.8,0.5,331.6,Poor
2020-01-01,STN_013,115.104,181.932,103.066,46.649,2.827,23.279,32.567,4.308,4.9,21.3,0.5,106.7,Poor
2020-01-01,STN_018,41.647,100.268,28.564,32.237,1.326,25.947,37.275,1.908,29.9,58.4,3.3,88.6,Moderate
2020-01-01,STN_011,,244.193,144.588,83.726,4.548,15.334,74.133,14.822,34.6,68.5,1.7,269.8,Unknown
2020-01-01,STN_038,96.442,132.565,,,3.123,15.306,41.314,,31.7,42.9,2.7,294.5,Poor
2020-01-01,STN_011,,136.542,55.771,50.316,2.174,24.478,44.986,8.212,36.7,48.3,1.7,262.8,Unknown
2020-01-01,STN_017,44.411,91.853,17.129,30.184,1.2,27.363,35.777,1.213,34.6,63.9,0.5,215.0,Moderate
2020-01-02,STN_014,132.285,178.541,105.998,45.356,1.734,22.295,44.617,5.992,13.7,64.8,0.5,296.5,Poor
2020-01-02,STN_017,46.715,94.125,44.78,12.553,1.725,37.445,39.479,,28.1,75.1,0.5,332.1,Moderate
2020-01-02,STN_015,212.606,354.481,129.764,81.764,5.799,21.063,60.874,14.232,16.1,46.7,4.3,146.9,Very Poor
2020-01-02,STN_004,16.129,,7.004,7.473,0.496,51.874,8.401,0.97,31.7,79.2,1.3,246.6,Satisfactory
2020-01-02,STN_012,100.222,161.373,57.48,31.138,2.002,23.176,48.426,5.663,13.3,65.4,31.5,256.5,Poor
2020-01-02,STN_017,102.229,177.199,66.397,52.843,3.148,19.988,50.885,5.562,30.5,50.4,7.1,334.0,Poor
2020-01-02,STN_016,225.034,301.77,134.903,118.842,6.068,13.316,76.997,10.175,18.6,86.0,2.7,262.1,Very Poor
2020-01-02,STN_028,70.342,72.428,36.063,27.144,1.689,24.744,23.946,2.451,20.9,35.5,5.8,132.3,Poor
2020-01-03,STN_032,159.831,184.95,84.349,,3.06,29.155,61.754,3.629,9.6,97.3,0.8,51.6,Very Poor
2020-01-03,STN_001,203.688,298.482,128.795,63.221,4.303,23.369,99.24,12.336,11.3,65.4,4.9,314.6,Very Poor
2020-01-03,STN_025,122.729,257.227,124.896,76.81,5.938,19.284,71.514,,37.7,38.6,0.6,156.6,Poor
2020-01-03,STN_011,47.382,100.725,10.773,21.939,1.608,33.819,22.206,2.225,19.0,26.7,9.3,329.3,Moderate
2020-01-03,STN_023,172.364,335.57,99.077,81.777,,9.294,111.412,18.925,16.0,47.3,30.0,250.2,Very Poor
2020-01-03,STN_022,,259.644,78.172,110.718,6.089,16.038,106.321,8.552,19.4,43.7,0.7,257.4,Unknown
2020-01-03,STN_019,70.757,133.006,37.538,52.778,2.802,25.568,57.12,6.119,17.5,66.7,4.5,307.2,Poor
2020-01-03,STN_002,73.436,116.31,37.184,25.312,1.772,31.732,31.855,1.1,18.1,48.5,2.7,302.4,Poor
2020-01-03,STN_033,112.567,144.638,82.407,47.976,3.695,19.315,44.233,4.442,15.3,72.2,3.0,243.8,Poor
2020-01-03,STN_025,116.733,111.142,77.691,46.426,1.387,25.687,45.527,5.461,23.1,44.3,40.0,117.1,Poor
2020-01-04,STN_012,142.252,312.387,119.0,74.491,5.997,14.413,79.127,11.227,31.1,58.3,21.8,129.6,Poor
2020-01-04,STN_036,243.172,342.786,154.022,104.219,3.581,16.591,101.67,11.176,26.3,58.2,2.9,86.6,Very Poor
2020-01-04,STN_005,64.445,53.041,42.072,,0.91,37.665,,1.585,18.3,67.0,0.5,221.1,Poor
2020-01-04,STN_028,119.675,123.472,84.633,46.573,3.577,23.026,69.343,6.259,16.8,42.8,6.3,34.6,Poor
2020-01-04,STN_026,210.613,341.922,119.599,76.76,6.109,18.569,79.368,15.757,22.0,39.4,2.9,75.0,Very Poor
2020-01-04,STN_016,,157.054,90.84,68.176,2.43,25.175,63.88,4.653,17.3,59.9,4.8,353.9,Unknown
2020-01-05,STN_003,10.393,24.11,13.334,6.332,,37.032,11.886,0.948,33.4,53.6,8.1,276.5,Good
2020-01-05,STN_024,165.565,304.117,117.209,65.983,6.322,10.587,104.334,14.614,39.3,83.3,3.0,134.6,Very Poor
2020-01-05,STN_012,56.562,143.663,53.809,15.568,1.841,29.243,32.53,2.152,39.8,55.0,1.8,20.1,Poor
2020-01-05,STN_041,213.896,271.487,,94.532,5.333,15.467,83.773,9.178,22.0,89.1,0.6,329.3,Very Poor
2020-01-05,STN_010,107.198,148.633,53.348,54.457,3.121,19.033,66.184,5.968,21.8,80.2,11.1,50.6,Poor
2020-01-05,STN_034,96.225,166.386,84.452,47.397,1.964,25.439,56.23,6.267,30.0,48.0,5.0,52.3,Poor
2020-01-05,STN_014,124.079,214.318,69.864,51.031,2.24,20.377,29.208,4.708,17.1,71.9,6.6,239.5,Poor
2020-01-05,STN_038,108.44,163.449,84.47,50.925,2.776,13.393,25.826,3.471,26.3,45.9,27.4,182.5,Poor
2020-01-06,STN_019,108.556,156.788,89.295,65.102,2.095,17.297,,6.309,29.8,68.2,8.2,334.9,Poor
2020-01-06,STN_003,56.558,169.346,60.448,50.117,2.701,,21.634,5.434,34.0,23.4,2.4,149.1,Poor
2020-01-06,STN_038,50.499,36.995,38.046,10.268,1.096,41.263,,,22.1,84.5,5.2,118.7,Moderate
2020-01-06,STN_027,65.183,82.844,34.208,14.78,1.776,27.602,26.422,2.253,20.8,66.9,16.1,275.1,Poor
2020-01-06,STN_032,110.882,202.283,63.144,63.772,2.873,29.752,44.86,5.661,21.9,77.7,7.0,77.2,Poor
2020-01-06,STN_041,82.402,178.08,75.131,48.874,2.24,22.729,51.69,6.749,29.7,57.1,5.8,319.6,Poor
2020-01-06,STN_031,155.176,184.109,123.964,85.302,6.01,10.38,68.77,12.19,22.4,34.1,24.1,199.8,Very Poor
2020-01-06,STN_038,176.778,339.285,149.691,87.532,7.063,17.065,95.442,18.04,19.0,61.7,2.9,24.5,Very Poor
2020-01-06,STN_008,182.789,241.604,107.107,61.457,5.551,17.183,80.815,14.824,14.0,65.2,4.4,225.9,Very Poor
2020-01-07,STN_006,114.037,151.286,90.41,46.991,,23.874,32.898,4.61,23.0,71.0,7.5,181.8,Poor
2020-01-07,STN_009,119.019,199.272,105.815,28.661,2.215,16.439,44.24,3.846,21.6,26.0,2.3,81.9,Poor
2020-01-07,STN_020,110.532,95.829,95.012,54.333,2.143,17.429,44.621,5.882,30.6,57.4,3.1,223.1,Poor
2020-01-07,STN_022,156.197,330.615,144.321,81.152,3.239,,134.705,10.301,28.7,58.4,15.3,132.5,Very Poor
2020-01-07,STN_019,129.802,186.392,74.633,49.168,3.049,19.533,48.963,6.913,23.6,74.3,8.3,260.1,Poor
2020-01-07,STN_038,14.673,45.609,14.528,10.746,0.356,48.348,9.238,0.755,25.1,66.6,13.3,45.8,Satisfactory
2020-01-07,STN_015,71.179,107.405,43.948,11.083,,36.517,48.899,2.612,18.7,68.8,3.6,349.5,Poor
2020-01-07,STN_004,21.123,28.207,17.702,13.669,0.576,35.397,16.409,0.927,17.3,52.0,0.8,190.0,Satisfactory
2020-01-07,STN_010,55.786,168.16,56.283,49.476,3.663,28.654,63.742,5.179,36.3,60.3,0.5,346.5,Poor
2020-01-08,STN_007,,,,84.554,5.093,13.447,82.33,12.829,41.0,77.2,4.9,187.2,Unknown
2020-01-08,STN_009,17.995,31.312,21.349,5.201,0.565,40.831,9.281,0.581,22.6,100.0,18.8,306.1,Satisfactory
2020-01-08,STN_023,91.254,111.548,34.675,24.764,0.937,,34.48,2.294,39.3,48.0,2.4,273.9,Poor
2020-01-08,STN_016,224.004,348.804,98.648,89.135,6.289,12.144,76.205,15.411,41.0,26.6,13.5,282.7,Very Poor
2020-01-08,STN_019,197.252,292.998,142.43,79.893,7.353,,76.726,11.834,27.0,36.7,1.2,44.0,Very Poor
2020-01-08,STN_020,151.275,184.719,78.625,46.372,1.759,20.271,52.617,5.702,30.7,62.9,7.6,36.3,Very Poor
2020-01-08,STN_027,103.698,153.998,71.079,28.727,2.06,19.676,20.947,5.542,19.4,67.2,3.6,356.2,Poor
2020-01-08,STN_001,115.485,131.083,87.198,36.332,3.005,28.301,46.636,5.832,26.6,89.4,0.7,80.1,Poor
2020-01-08,STN_012,207.056,,148.635,56.389,6.888,17.987,84.007,14.425,20.2,42.0,8.3,143.8,Very Poor
2020-01-08,STN_014,225.855,426.773,163.929,104.561,2.743,13.067,55.754,10.242,28.4,71.7,10.6,88.3,Very Poor
2020-01-08,STN_009,144.798,234.07,121.077,88.558,4.866,16.313,80.562,12.421,28.8,58.0,1.2,7.6,Poor
2020-01-08,STN_003,163.811,252.516,106.206,86.951,5.898,12.572,79.791,10.092,18.8,64.5,8.7,14.6,Very Poor
2020-01-09,STN_009,91.35,139.351,86.25,38.27,3.08,24.225,63.906,4.9,28.8,54.7,6.0,194.0,Poor
